STS	NMB	LNK	SYM	STY	MKT	EFT	SDE	PRC	SIZ	TRM	OPD	HDI	VER	DCV	TPA	TGP	BOK	ODT	IND	TRD	RGR	STD	STT	CLR	BRK	MBR	ACC	ACT	TOB	TOU	GRS	BNK	BKA	UTY	UTI	UUI	UWS	REF	CSQ	MKP	SSL	PRT	IAC	OQY	CQY	LQY	APX	LPX	OST	CLI	OCL	TXT	ROL	OSQ	IWF	IAL	EWF	EAL	DEA
1	37252701	0	ALT	SHARE	REGS	2018-09-12 15:23:59.66	1	0.034000	50000	1	20180912	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-12 15:23:59.66	UK8GW3	192.168.252.2		136511	0	0	3	1032637	50000	0	0	0.000000	0.000000	0				0	230396149	0	N	3	N	N
1	37251011	0	ALU	SHARE	REGS	2018-09-12 11:07:33.594	1	0.710000	999	1	20180912	0	0	0	1	0.000000	1	1	0	16765647	0	0	1	2	K8	K8	4848008	1			0			3	2018-09-12 15:09:28.863	UK8GW3	192.168.252.2		0	0	0	3	1032415	1000	1	1	0.710000	0.710000	1				0	230390266	0	N	3	N	N
1	37251011	0	ALU	SHARE	REGS	2018-09-12 11:07:33.594	1	0.710000	1000	1	20180912	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-12 11:07:33.594	UK8GW3	192.168.252.2		136403	0	0	3	1032415	1000	0	0	0.000000	0.000000	0				0	230277488	0	N	3	N	N
0	37244552	0	AMO	SHARE	REGS	2018-09-11 09:30:01.773	2	0.003100	6000	1	20180911	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			11	2018-09-12 00:00:13.549	system	system		0	0	0	3	1032976	6000	0	0	0.000000	0.000000	12			72/out of term	0	230221058	0	N	3	N	N
1	37251918	0	ATPA	SHARE	XRS1	2018-09-12 16:49:23.095	2	1.400000	2088	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-12 16:49:23.095	UK8GW3	192.168.252.2		136536	0	0	3	1027170	2088	0	0	0.000000	0.000000	0				0	230444687	0	N	3	N	N
1	37251913	0	ATPA	SHARE	XRS1	2018-09-12 13:13:37.299	1	1.210000	1000	1	20180912	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-12 13:13:37.299	UK8GW3	192.168.252.2		136464	0	0	3	1032719	1000	0	0	0.000000	0.000000	0				0	230335052	0	N	3	N	N
1	37251918	0	ATPA	SHARE	XRS1	2018-09-12 13:14:03.637	2	1.410000	2088	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-12 13:14:03.637	UK8GW3	192.168.252.2		136465	0	0	3	1027170	2088	0	0	0.000000	0.000000	0				0	230335120	0	N	3	N	N
0	36517730	0	ATPA	SHARE	XRS1	2018-09-12 11:30:47.863	2	1.320000	2088	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			0	2018-09-12 12:47:34.582	UK8GW3	192.168.252.2		136451	0	0	3	1027170	2088	0	0	0.000000	0.000000	4				0	230324045	0	N	3	N	N
1	36517730	0	ATPA	SHARE	XRS1	2018-09-12 11:30:47.863	2	1.320000	2088	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-12 11:30:47.864	UK8GW3	192.168.252.2		136417	0	0	3	1027170	2088	0	0	0.000000	0.000000	0				0	230287775	0	N	3	N	N
1	37251918	0	ATPA	SHARE	XRS1	2018-09-12 13:14:15.971	2	1.950000	2088	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-12 13:14:15.971	UK8GW3	192.168.252.2		136466	0	0	3	1027170	2088	0	0	0.000000	0.000000	0				0	230335163	0	N	3	N	N
